subject,question,choices,correct_answer,model_answer,is_correct,exact_match,ttft_ms,total_time_s,response_text,model,error
"college_medicine","A police officer carries out hundreds of traffic stops every year. When his supervisor is reviewing the officer’s records for the past year, he notices that the officer is equally likely to stop people of various genders, ages, and races. However, he is significantly more likely to write tickets for middle-aged white males with dark hair and eyes. When confronted with this fact, the officer truthfully states that he has no idea why that is, and that it must simply be a coincidence. Unbeknownst to the officer, this behavior is tied to the fact that these men look like his father, with whom he had an abusive relationship as a child. What psychological framework would directly address the unconscious bias in his behavior? ","Behaviorist | Psychoanalytic | Cognitive behavioral | Humanistic","B","B",true,false,170,2.482,"B The officer's behavior is an example of a classic case of unconscious bias. Unconscious bias refers to the automatic, often unintentional, biases that people hold towards certain groups of people. The officer's behavior is an example of unconscious bias because","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"college_medicine","Who set the world record for the mile race in 1886?","R Bannister | S Coe | J DiMaggio | WG George","D","A",false,true,91,0.147,"A","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"college_physics","The quantum efficiency of a photon detector is 0.1. If 100 photons are sent into the detector, one after the other, the detector will detect photons","an average of 10 times, with an rms deviation of about 4 | an average of 10 times, with an rms deviation of about 3 | an average of 10 times, with an rms deviation of about 1 | an average of 10 times, with an rms deviation of about 0.1","B","A",false,false,143,0.500,"A The best answer is A.","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"college_physics","White light is normally incident on a puddle of water (index of refraction 1.33). A thin (500 nm) layer of oil (index of refraction 1.5) floats on the surface of the puddle. Of the following, the most strongly reflected wavelength is","500 nm | 550 nm | 600 nm | 650 nm","C","A",false,false,110,2.661,"A The index of refraction of the oil is 1.5, which is greater than that of water (1.33), so the oil is more strongly reflected than the water.","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"computer_security","Which of the following styles of fuzzer is more likely to explore paths covering every line of code in the following program?","Generational | Blackbox | Whitebox | Mutation-based","C","A",false,false,105,2.516,"A  Explanation: Generational fuzzer is the most likely to explore all lines of code in a program. Blackbox fuzzer is the least likely to explore all lines of code in a program. Whitebox fuzzer is the most likely to explore","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"computer_security","Assume that a TLS connection has been established successfully between a client and a server. Establishing the session included checking the server certificate and executing a DiffieHelmann exchange, but the client did not provide a client certificate. Further, assume that the client and server are honest, that the client and server don’t leak their keys, and that the cryptography is good. Which of the following attacks does TLS protect against? 1. An attacker replaying bytes that a client sent earlier. 2. An attacker impersonating the server.","True, True | False, False | True, False | False, True","A","A",true,false,333,0.565,"A) True, True","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"conceptual_physics","A 10-N force at an angle 45° above the horizontal has a horizontal component of about","7 N | 5 N | 10 N | 12 N","A","A",true,false,81,0.337,"A) 7 N","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"conceptual_physics","A completely submerged object always displaces its own","weight of fluid. | volume of fluid. | density of fluid. | All of these.","B","A",false,false,81,1.144,"A The weight of fluid displaced by an object is equal to the weight of the fluid displaced by the object.","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"econometrics","Which one of the following is the most appropriate definition of a 99% confidence interval?","99% of the time in repeated samples, the interval would contain the true value of the parameter | 99% of the time in repeated samples, the interval would contain the estimated value of the parameter | 99% of the time in repeated samples, the null hypothesis will be rejected | 99% of the time in repeated samples, the null hypothesis will not be rejected when it was false","A","A",true,false,129,0.235,"A)","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"econometrics","What is the main difference between the Dickey Fuller (DF) and Phillips-Perron (PP) approaches to unit root testing?","ADF is a single equation approach to unit root testing while PP is a systems approach | PP tests reverse the DF null and alternative hypotheses so that there is stationarity under the null hypothesis of the PP test | The PP test incorporates an automatic correction for autocorrelated residuals in the test regression | PP tests have good power in small samples whereas DF tests do not.","C","A",false,false,131,0.233,"A)","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"electrical_engineering","The Barkhausen criterion for an oscillator","Loop gain should be unity | Loop gain should be less than unity | The phase of a feedback signal with respect to input should be 0° or 360° | Both A and C","D","A",false,false,117,2.407,"A The Barkhausen criterion is a set of conditions that must be met for a system to be stable. One of the conditions is that the loop gain (the ratio of the output to the input) should be less than or equal to unity.","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"electrical_engineering","Potentiometer method of DC voltage measurement is more accurate than direct measurement using a voltmeter because","It loads the circuit moderately. | It loads the circuit to maximum extent. | It uses centre zero galvanometer instead of voltmeter. | It does not load the circuit at all.","D","A",false,false,119,0.357,"A, C, D","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"elementary_mathematics","What is the value of p in 24 = 2p?","p = 4 | p = 8 | p = 12 | p = 24","C","A",false,false,81,0.413,"A) p = 4","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"elementary_mathematics","Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day?","5 | 7 | 8 | 9","C","A",false,false,106,0.308,"A) 5","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"formal_logic","Identify the conclusion of the following argument. It is hard not to verify in our peers the same weakened intelligence due to emotions that we observe in our everyday patients. The arrogance of our consciousness, which in general, belongs to the strongest defense mechanisms, blocks the unconscious complexes. Because of this, it is difficult to convince people of the unconscious, and in turn to teach them what their conscious knowledge contradicts. (Sigmund Freud, The Origin and Development of Psychoanalysis)","It is hard not to verify in our peers the same weakened intelligence due to emotions that we observe in our everyday patients. | The arrogance of our consciousness, which in general, belongs to the strongest defense mechanisms, blocks the unconscious complexes. | Because of this, it is difficult to convince people of the unconscious, and in turn to teach them what their conscious knowledge contradicts. | It is difficult to convince people of the unconscious, and in turn to teach them what their conscious knowledge contradicts.","D","A",false,true,202,0.256,"A","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"formal_logic","Select the best translation into predicate logic. David teaches Chris. (c: Chris; d: David; Txy: x teaches y)","Tdc | Tcd | Tcc | dTc","A","A",true,false,86,2.215,"A) Tdc  Explanation: The sentence ""David teaches Chris"" is a predicate logic sentence. It can be translated into the following sentence:  Tdc  Where ""Tdc"" is the translation of ""David teaches Chris"".","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"global_facts","As of 2016, about what percentage of adults aged 18 years or older were overweight?","10% | 20% | 40% | 80%","C","A",false,false,91,0.349,"A) 10%","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"global_facts","What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices?","About $300 | About $3k | About $8k | About $15k","B","A",false,false,85,0.184,"A.","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"high_school_biology","In a population of giraffes, an environmental change occurs that favors individuals that are tallest. As a result, more of the taller individuals are able to obtain nutrients and survive to pass along their genetic information. This is an example of","directional selection. | stabilizing selection. | sexual selection. | disruptive selection.","A","A",true,true,105,0.152,"A","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"high_school_biology","Which of the changes below following the start codon in an mRNA would most likely have the greatest deleterious effect?","a deletion of a single nucleotide | a deletion of a nucleotide triplet | a single nucleotide substitution of the nucleotide occupying the first codon position | a single nucleotide substitution of the nucleotide occupying the third codon position","A","A",true,false,107,2.358,"A, B, C, and D are all possible answers, but the correct answer is A. A deletion of a single nucleotide would have the greatest deleterious effect because it would disrupt the normal reading frame of the mRNA, leading to premature","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"high_school_chemistry","London dispersion forces are caused by","temporary dipoles created by the position of electrons around the nuclei in a molecule | the three-dimensional intermolecular bonding present in all covalent substances | the uneven electron-to-proton ratio found on individual atoms of a molecule | the electronegativity differences between the different atoms in a molecule","A","A",true,false,121,2.435,"A, B, C, and D.  A) Temporary dipoles are caused by the temporary separation of electrons, which creates a temporary dipole moment. This is a key factor in London dispersion forces.  B) The three-dimensional intermolecular","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"high_school_chemistry","Carbon has an atomic radius of 77 pm and a first ionization energy of 1086 kJ/mol.","70 pm, 1402 kJ/mol | 86 pm, 898 kJ/mol | 135 pm, 523 kJ/mol | 40 pm, 995 kJ/mol","A","A",true,false,129,1.127,"A) 70 pm, 1402 kJ/mol The best answer is A.","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"high_school_computer_science","Let x = 1. What is x << 3 in Python 3?","1 | 3 | 8 | 16","C","A",false,false,80,0.299,"A) 1","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"high_school_computer_science","In Python 3, which of the following function convert a string to an int in python?","int(x [,base]) | long(x [,base] ) | float(x) | str(x)","A","A",true,false,87,2.617,"A) int(x [,base])  Explanation: In Python 3, the `int()` function is used to convert a string to an integer. The first argument to `int()` is the string to be converted, and the second argument is the base","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"high_school_european_history","This question refers to the following information. In order to make the title of this discourse generally intelligible, I have translated the term ""Protoplasm,"" which is the scientific name of the substance of which I am about to speak, by the words ""the physical basis of life."" I suppose that, to many, the idea that there is such a thing as a physical basis, or matter, of life may be novel—so widely spread is the conception of life as something which works through matter. … Thus the matter of life, so far as we know it (and we have no right to speculate on any other), breaks up, in consequence of that continual death which is the condition of its manifesting vitality, into carbonic acid, water, and nitrogenous compounds, which certainly possess no properties but those of ordinary matter. Thomas Henry Huxley, ""The Physical Basis of Life,"" 1868 From the passage, one may infer that Huxley argued that ""life"" was","a force that works through matter | essentially a philosophical notion | merely a property of a certain kind of matter | a supernatural phenomenon","C","A",false,true,343,0.387,"A","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"high_school_european_history","This question refers to the following information. Read the the following quotation to answer questions. The various modes of worship which prevailed in the Roman world were all considered by the people as equally true; by the philosopher as equally false; and by the magistrate as equally useful. Edward Gibbon, The Decline and Fall of the Roman Empire, 1776–1788 Gibbon's interpretation of the state of religious worship in ancient Rome could be summarized as","In ancient Rome, religious worship was decentralized and tended to vary with one's social position. | In ancient Rome, religious worship was the source of much social tension and turmoil. | In ancient Rome, religious worship was homogeneous and highly centralized. | In ancient Rome, religious worship was revolutionized by the introduction of Christianity.","A","A",true,true,173,0.238,"A","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"high_school_geography","The main factor preventing subsistence economies from advancing economically is the lack of","a currency. | a well-connected transportation infrastructure. | government activity. | a banking service.","B","A",false,true,80,0.129,"A","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"high_school_geography","The tendency for a population to continue to grow long after replacement fertility has been achieved is called","zero population growth. | rapid growth rate. | homeostatic plateau. | demographic momentum.","D","D",true,true,84,0.153,"D","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"high_school_government_and_politics","Which of the following best describes the balance the Supreme Court has struck between the establishment clause and the free-exercise clause?","Freedom of speech is protected except in certain situations, such as yelling ""fire"" in a crowded theater. | Once a church has been recognized by the federal government, its tax-exempt status can never be revoked. | Once Congress has created an administrative agency, that agency can be dissolved only by a constitutional amendment. | State-sponsored prayer during school hours is prohibited, but voluntary prayer by student groups before school is allowed.","D","A",false,true,134,0.203,"A","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"high_school_government_and_politics","Which of the following statements does NOT accurately describe voting behavior in the United States?","Registered voters between the ages of 35 and 45 are more likely to vote than are those under the age of 21. | A registered voter who has attained his or her General Educational Development (GED) is less likely to vote than a high school dropout. | Registered voters are more likely to vote in general elections than they are in primary elections. | More women than men have voted in every presidential election since 1980.","B","D",false,true,132,0.195,"D","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"high_school_macroeconomics","Suppose that an expansionary fiscal policy leads to a large increase in real output and a small increase in the price level. From this it can be inferred that","inflation had already impacted the economy before the fiscal stimulus. | the economy initially had some unemployed resources. | aggregate supply decreased. | aggregate demand is steeply sloped.","B","A",false,false,136,0.614,"A, B, C, and D.","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"high_school_macroeconomics","Which of the following is included in U.S. GDP? I.   The market value of movies made in Africa by U.S. citizens II.   The market value of olive oil made in Italy and sold in the United States. III.   The market value of blue jeans made in the United States and sold in Japan IV.   The market value of wine made in the United States by Canadian citizens","II III and IV only | I and III only | II and IV only | III and IV only","D","A",false,false,133,0.516,"A) II III and IV only","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"high_school_mathematics","If a pentagon P with vertices at (– 2, – 4), (– 4, 1), (–1, 4), (2, 4), and (3, 0) is reflected across the line y = x to get a new pentagon, P’, then one of the vertices of P’ is","(0, – 3) | (4, 1) | (2, 2) | (– 4, –2)","D","A",false,false,129,2.659,"A) (0, – 3)  The line y = x is the line where the x and y coordinates are swapped.  The vertex (– 2, – 4) is reflected to (0, – 3) because the","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"high_school_mathematics","The length of a rectangle is twice its width. Given the length of the diagonal is $5\sqrt{5}$, find the area of the rectangle.","2500 | 2 | 50 | 25","C","A",false,false,97,0.360,"A) 2500","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"high_school_microeconomics","Marginal revenue equals marginal cost at the point where","total revenue is greater than total cost at its greatest distance | total revenue is equal to total cost | marginal product is at its highest point | total product is at its highest point","A","A",true,true,101,0.149,"A","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"high_school_microeconomics","The price of labor is $2, and the price of capital is $1. The marginal product of labor is 200, and the marginal product of capital is 50. What should the firm do?","Increase capital and decrease labor so that the marginal product of capital falls and the marginal product of labor rises. | Increase capital and decrease labor so that the marginal product of capital rises and the marginal product of labor falls. | Decrease capital and increase labor so that the marginal product of capital rises and the marginal product of labor falls. | Decrease capital and increase labor so that the marginal product of capital falls and the marginal product of labor rises.","C","A",false,false,153,0.266,"A.","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"high_school_physics","The plates of a capacitor are charged to a potential difference of 5 V. If the capacitance is 2 mF, what is the charge on the positive plate?","0.005 C | 0.01 C | 0.02 C | 0.5 C","B","A",false,false,108,0.442,"A) 0.005 C","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"high_school_physics","Which of these quantities decreases as the inverse square of distance for distances far from the objects producing the fields?","the electric field produced by a finite-length charged rod | the electric field produced by an infinitely long charged cylinder | the electric field produced by an infinite plane of charge | the magnetic field produced by an infinitely long, straight current-carrying wire","A","A",true,false,126,0.578,"A, B, C, and D.","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"high_school_psychology","Nearsightedness results from","too much curvature of the cornea and lens | too little curvature of the cornea and lens | too much curvature of the iris and lens | too little curvature of the iris and lens","A","A",true,true,85,0.139,"A","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"high_school_psychology","Delusions of grandeur are most characteristic of","OCD. | schizophrenia. | conversion disorder. | antisocial personality disorder.","B","A",false,true,81,0.139,"A","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"high_school_statistics","The weight of an aspirin tablet is 300 milligrams according to the bottle label. An FDA investigator weighs a simple random sample of seven tablets, obtains weights of 299, 300, 305, 302, 299, 301, and 303, and runs a hypothesis test of the manufacturer's claim. Which of the following gives the P-value of this test?","P(t > 1.54) with df = 6 | 2P(t > 1.54) with df = 6 | P(t > 1.54) with df = 7 | 2P(t > 1.54) with df = 7","B","A",false,false,152,1.190,"A) P(t > 1.54) with df = 6  The best answer is A.","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"high_school_statistics","The waiting times for a new roller coaster ride are normally distributed with a mean of 35 minutes and a standard deviation of 10 minutes. If there are 150,000 riders the first summer, which of the following is the shortest time interval associated with 100,000 riders?","0 to 31.7 minutes | 31.7 to 39.3 minutes | 25.3 to 44.7 minutes | 25.3 to 35 minutes","C","A",false,false,132,2.448,"A The mean waiting time is 35 minutes, and the standard deviation is 10 minutes. The shortest time interval associated with 100,000 riders is 25.3 minutes. The shortest time interval associated with 150,000 riders is","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"high_school_us_history","This question refers to the following information. ""The far-reaching, the boundless future will be the era of American greatness. In its magnificent domain of space and time, the nation of many nations is destined to manifest to mankind the excellence of divine principles; to establish on earth the noblest temple ever dedicated to the worship of the Most High—the Sacred and the True. Its floor shall be a hemisphere—its roof the firmament of the star-studded heavens, and its congregation a Union of many Republics, comprising hundreds of happy millions, calling, owning no man master, but governed by God's natural and moral law of equality, the law of brotherhood—of 'peace and good will amongst men.'"" John L. O'Sullivan, ""The Great Nation of Futurity,"" 1839 By what means did the United States take possession of the Oregon Territory?","The United States was granted the territory in a postwar treaty with France. | The United States bought it from the Native Americans who lived there. | U.S. settlers were the first to arrive in the region; they claimed it for their country. | Great Britain ceded it to the United States as part of a negotiated treaty.","D","B",false,true,323,0.375,"B","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"high_school_us_history","This question refers to the following information. BECAUSE no People can be truly happy, though under the greatest Enjoyment of Civil Liberties, if abridged of the Freedom of their Consciences, as to their Religious Profession and Worship: And Almighty God being the only Lord of Conscience, Father of Lights and Spirits; and the Author as well as Object of all divine Knowledge, Faith and Worship, who only doth enlighten the Minds, and persuade and convince the Understanding of People, I do hereby grant and declare, That no Person or Persons, inhabiting in this Province or Territories, who shall confess and acknowledge One almighty God, the Creator, Upholder and Ruler of the World; and profess him or themselves obliged to live quietly under the Civil Government, shall be in any Case molested or prejudiced, in his or their Person or Estate, because of his or their conscientious Persuasion or Practice, nor be compelled to frequent or maintain any religious Worship, Place or Ministry, contrary to his or their Mind.… —William Penn, Charter of Privileges Granted by William Penn, esq. to the Inhabitants of Pennsylvania and Territories, October 28, 1701 Because of Penn's Charter of Privileges, Pennsylvania became","one of the most religiously diverse colonies in British America. | one of the least religiously diverse colonies in America. | notorious for witch hunting and popular superstition. | known for its hostility to traditional religious practices.","A","A",true,true,292,0.340,"A","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"high_school_world_history","This question refers to the following information. No task is more urgent than that of preserving peace. Without peace our independence means little. The rehabilitation and upbuilding of our countries will have little meaning. Our revolutions will not be allowed to run their course. What can we do? We can do much! We can inject the voice of reason into world affairs. We can mobilize all the spiritual, all the moral, all the political strength of Asia and Africa on the side of peace. Yes, we! We, the peoples of Asia and Africa, 1.4 billion strong. Indonesian leader Sukarno, keynote address to the Bandung Conference, 1955 The passage above is most associated with which of the following developments?","The formation of the non-aligned movement | Global disarmanent and nuclear non-proliferation | The Green Revolution in agriculture | Mobilization of pan-Asian ideology","A","A",true,true,205,0.259,"A","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"high_school_world_history","This question refers to the following information. Gunpowder Weaponry: Europe vs. China In Western Europe during the 1200s through the 1400s, early cannons, as heavy and as slow to fire as they were, proved useful enough in the protracted sieges that dominated warfare during this period that governments found it sufficiently worthwhile to pay for them and for the experimentation that eventually produced gunpowder weapons that were both more powerful and easier to move. By contrast, China, especially after the mid-1300s, was threatened mainly by highly mobile steppe nomads, against whom early gunpowder weapons, with their unwieldiness, proved of little utility. It therefore devoted its efforts to the improvement of horse archer units who could effectively combat the country's deadliest foe. The argument in this passage most closely relates to which of the following large-scale questions about global history?","How societies shared strategically important technologies with each other | Why European states went on to attain military superiority over non-Western powers in the modern era | Why Silk Road commerce dwindled across the breadth of Eurasia after 1500 C.E. | How the medieval climatic optimum affected the process of cultural diffusion","B","A",false,true,354,0.407,"A","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"human_aging","The study of older adults and aging is referred to as","Gerontology | Geropsychiatry | Geriatrics | Gero-education","A","A",true,true,84,0.153,"A","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"human_aging","Which of the following factors is associated with a decreased risk of Alzheimer's?","Being African or Hispanic American | Eating fish | A lower level of education | Being married","B","A",false,false,84,2.380,"A  The factors associated with a decreased risk of Alzheimer's are:  * Being African or Hispanic American (A) * Eating fish (B) * A lower level of education (C) * Being married (D)  These factors are associated with a","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"human_sexuality","Which of the following methods of detecting breast cancer involves exposure to radiation?","Needle aspiration | Mammography | Mastectomy | Lumpectomy","B","B",true,true,112,0.171,"B","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"human_sexuality","The regions of the body that, when touched, are sexually exciting:","vary from person to person | vary for women depending on the phases of the menstrual cycle | are mainly on the lower portion of the body | all of the above","D","A",false,false,106,2.336,"A) vary from person to person  The answer is A. The regions of the body that are most sexually exciting to a person can vary from one person to another. This is because the brain's response to touch can be highly individualized.","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"international_law","Which State ordinarily exercises jurisdiction in respect of crimes committed on board vessels?","The coastal State | The flag State | All States enjoy such jurisdiction | The International Tribunal for the Law of the Sea","B","B",true,true,96,0.145,"B","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"international_law","What is the meaning of justiciability?","Justiciability refers to the possibility of enforcement of a particular right by the relevant rights holders | Justiciability refers to the just nature or cause of a particular right | Justiciability refers to the courts' assessment of whether the non-enforcement of a particular rights conforms to principles of justice | Justiciability refers to the obligation of a State to enforce a particular Right","A","A",true,false,132,0.231,"A.","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
"jurisprudence","Which statement best explains the purpose of Hart's distinction between 'being obliged' and 'having an obligation'?","It demonstrates the difference between the internal and the external aspect of a rule. | It refutes the natural lawyer' view of the role of morality in law. | It explains the nature of power-conferring rules. | It illuminates the concept of a rule.","D","D",true,true,108,0.162,"D","Llama-3.2-1B-Instruct-q4f16_1-MLC",""
